category,title,creator,publication_year,description
movie,Trolls,Walt Dohrn,2016,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
movie,Independence Day: Resurgence,Roland Emmerich,2016,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
movie,Paris pieds nus,Dominique Abel,2016,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing."
movie,Bahubali: The Beginning,S.S. Rajamouli,2015,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people."
movie,Dead Awake,Phillip Guzman,2016,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.
movie,Bad Moms,Jon Lucas,2016,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."
movie,Assassin's Creed,Justin Kurzel,2016,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society."
movie,Why Him?,John Hamburg,2016,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
movie,Nocturnal Animals,Tom Ford,2016,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
movie,X-Men: Apocalypse,Bryan Singer,2016,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
movie,Deadpool,Tim Miller,2016,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
movie,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."
movie,Captain America: Civil War,Anthony Russo,2016,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.
movie,Interstellar,Christopher Nolan,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
movie,Doctor Strange,Scott Derrickson,2016,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
movie,The Magnificent Seven,Antoine Fuqua,2016,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
movie,5- 25- 77,Patrick Read Johnson,2007,"Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything."
movie,Sausage Party,Greg Tiernan,2016,A sausage strives to discover the truth about his existence.
movie,Moonlight,Barry Jenkins,2016,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
movie,Don't Fuck in the Woods,Shawn Burkett,2016,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan."
movie,The Founder,John Lee Hancock,2016,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness."
movie,Lowriders,Ricardo de Montreuil,2016,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
movie,Miss Sloane,John Madden,2016,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
movie,Fallen,Scott Hicks,2016,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
movie,Star Trek Beyond,Justin Lin,2016,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test."
movie,The Last Face,Sean Penn,2016,"A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »"
movie,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
movie,Underworld: Blood Wars,Anna Foerster,2016,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
movie,Mother's Day,Garry Marshall,2016,Three generations come together in the week leading up to Mother's Day.
movie,John Wick,Chad Stahelski,2014,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.
movie,The Dark Knight,Christopher Nolan,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice."
movie,Silence,Martin Scorsese,2016,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
movie,Don't Breathe,Fede Alvarez,2016,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
movie,Me Before You,Thea Sharrock,2016,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
movie,Their Finest,Lone Scherfig,2016,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them."
movie,Sully,Clint Eastwood,2016,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
movie,Batman v Superman: Dawn of Justice,Zack Snyder,2016,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
